dataset,algorithm,n,time_us,char_comps
reverse,StringMergeSort,1500,1115,26644
reverse,MSDRadix,1500,419,3646
reverse,MSDRadixQuick,1500,231,9662
reverse,QuickSort,1600,102,75468
reverse,MergeSort,1600,1157,13059
reverse,StringQuickSort,1600,154,17753
reverse,StringMergeSort,1600,1195,28640
reverse,MSDRadix,1600,460,3888
reverse,MSDRadixQuick,1600,242,10301
reverse,QuickSort,1700,106,66406
reverse,MergeSort,1700,1240,13869
reverse,StringQuickSort,1700,162,19141
reverse,StringMergeSort,1700,1285,30318
reverse,MSDRadix,1700,472,4134
reverse,MSDRadixQuick,1700,267,11010
reverse,QuickSort,1800,126,58546
reverse,MergeSort,1800,1322,14996
reverse,StringQuickSort,1800,172,20285
reverse,StringMergeSort,1800,1356,32068
reverse,MSDRadix,1800,486,4383
reverse,MSDRadixQuick,1800,303,11586
reverse,QuickSort,1900,97,48358
reverse,MergeSort,1900,1413,16015
reverse,StringQuickSort,1900,193,22556
reverse,StringMergeSort,1900,1447,33488
reverse,MSDRadix,1900,514,4624
reverse,MSDRadixQuick,1900,358,12225
reverse,QuickSort,2000,128,39750
reverse,MergeSort,2000,1580,17073
reverse,StringQuickSort,2000,199,22877
reverse,StringMergeSort,2000,1557,35082
reverse,MSDRadix,2000,569,4871
reverse,MSDRadixQuick,2000,313,12876
reverse,QuickSort,2100,110,42004
reverse,MergeSort,2100,1638,17969
reverse,StringQuickSort,2100,203,23973
reverse,StringMergeSort,2100,1714,37070
reverse,MSDRadix,2100,623,5109
reverse,MSDRadixQuick,2100,347,13557
reverse,QuickSort,2200,123,54182
reverse,MergeSort,2200,1863,18605
reverse,StringQuickSort,2200,236,24901
reverse,StringMergeSort,2200,1728,39686
reverse,MSDRadix,2200,661,5359
reverse,MSDRadixQuick,2200,369,14198
reverse,QuickSort,2300,130,66583
reverse,MergeSort,2300,1763,19478
reverse,StringQuickSort,2300,274,27157
reverse,StringMergeSort,2300,1855,41996
reverse,MSDRadix,2300,714,5606
reverse,MSDRadixQuick,2300,652,14816
reverse,QuickSort,2400,146,77997
reverse,MergeSort,2400,1964,20175
reverse,StringQuickSort,2400,239,28056
reverse,StringMergeSort,2400,1941,44298
reverse,MSDRadix,2400,718,5851
reverse,MSDRadixQuick,2400,407,15458
reverse,QuickSort,2500,160,93706
reverse,MergeSort,2500,1980,21217
reverse,StringQuickSort,2500,262,29798
reverse,StringMergeSort,2500,2237,46654
reverse,MSDRadix,2500,762,6090
reverse,MSDRadixQuick,2500,412,16064
reverse,QuickSort,2600,179,105758
reverse,MergeSort,2600,2049,22063
reverse,StringQuickSort,2600,277,31206
reverse,StringMergeSort,2600,2130,48830
reverse,MSDRadix,2600,813,6348
reverse,MSDRadixQuick,2600,433,16883
reverse,QuickSort,2700,204,117923
reverse,MergeSort,2700,2298,22790
reverse,StringQuickSort,2700,302,33270
reverse,StringMergeSort,2700,2321,50674
reverse,MSDRadix,2700,872,6594
reverse,MSDRadixQuick,2700,476,17411
reverse,QuickSort,2800,207,132008
reverse,MergeSort,2800,2350,23710
reverse,StringQuickSort,2800,306,33636
reverse,StringMergeSort,2800,2563,52698
reverse,MSDRadix,2800,896,6832
reverse,MSDRadixQuick,2800,519,17954
reverse,QuickSort,2900,237,143180
reverse,MergeSort,2900,2371,24805
reverse,StringQuickSort,2900,302,35869
reverse,StringMergeSort,2900,2370,55014
reverse,MSDRadix,2900,884,7076
reverse,MSDRadixQuick,2900,521,18622
reverse,QuickSort,3000,240,156036
reverse,MergeSort,3000,2628,25784
reverse,StringQuickSort,3000,320,37080
